customer_sentiment,conversation
neutral, hello i am trying to place an order for a food processor but i am having trouble with the mobile number and email verification process  my name is mark i am not receiving the verification code for my mobile number and email address i have checked my spam folder but it is not there  i am trying to order the xyz food processor  yes my mobile number is 1234567890 and my email address is markemailcom  yes i have my tablet with me  i have checked my tablet and i received the verification code for my email address but i am still not receiving the verification code for my mobile number  okay i have clicked on the resend button and i have received the verification code thank you so much for your help emily  no thats all thank you for your assistance
negative, hi sarah im calling because i ordered a hand blender from your website two weeks ago and it still hasnt arrived  yes its 123456  this is unacceptable i need the hand blender for my daughters birthday party which is in two days  is put on hold for two minutes  yes please do that i appreciate your help  its the xyz model  no thats all thank you for your help  thank you sarah you too goodbye
neutral, hi alex i was browsing your website and noticed that the water purifier i am interested in has different prices listed for the same product can you help me understand why that is  yes its the aquafresh 2000  oh i see that makes sense but i noticed that even the basic filter variant has different prices listed on different pages of your website can you explain that  sure let me pull that up here are the links  provides the links  okay i understand now thank you for explaining that to me alex  no thats all for now thank you again for your help
negative, hi i am trying to reactivate my account but its not working can you help me  my name is sarah and my email is sarahemailcom  i dont have my account number or order number with me right now cant you reactivate it without that  my billing address is 123 main street anytown usa and my phone number is 5551234  yes its sarahemailcom  i dont have access to that email anymore can you send it to a different email  okay let me try that a few minutes later ive reset my password but i still cant log in  okay but ive been on hold for a long time already  is put on hold for a few minutes supervisor hello this is john the supervisor how may i assist you today  hi john ive been trying to reactivate my account but its not working ive reset my password but i still cant log in supervisor im sorry to hear that sarah let me check your account status yes i see that your account is still inactive well need to reactivate it manually can you please confirm your billing address and phone number again for security purposes  yes my billing address is 123 main street anytown usa and my phone number is 5551234 supervisor thank you for providing that information let me reactivate your account for you a few minutes later okay sarah your account has been reactivated you should be able to log in now  thank you john i appreciate your help supervisor youre welcome sarah is there anything else i can assist you with  no thats all thank you again supervisor it was my pleasure assisting you if you have any further questions or concerns please dont hesitate to contact us have a great day  you too goodbye supervisor goodbye
negative, hi sarah i am having an issue with the computer monitor i purchased from your website its not working correctly and i want to return it  the monitor is not displaying the correct colors and the resolution is not as advertised i have tried troubleshooting it but its not working  what do you mean i bought this monitor from your website and its not working correctly its not my fault  this is unacceptable i spent a lot of money on this monitor and its not working correctly what options do i have  no i havent i thought i should contact you first  okay i will try that but what if the manufacturer doesnt help me  okay i will do that thank you for your help  no thats all thank you
negative, hi jack i want to return a kitchen chimney that i bought from your website can you guide me through the process  yes its 987654321  the product is not as described and its not working correctly  what why should i pay a return fee when the product is defective  yes please do that  thank you so much for your help jack i appreciate it  no thats all thank you again
negative, hi john i have a problem with my order i ordered a sweatshirt last week and it was out for delivery yesterday but i havent received it yet  sure its 987654  this is ridiculous i paid for express delivery and now i have to wait for my package i need the sweatshirt for an event tomorrow  on hold for 2 minutes  when will i receive my package  alright i hope i receive it today  no thats all i just hope i receive my package soon  you too goodbye
neutral, hi i just received my computer monitor from brownbox and i need help with the mobile number and email verification  yes my order number is bb12345678 and my email is johndoeemailcom  sure i used 1234567890 for my mobile number and johndoeemailcom for my email  checks the email and confirms the code with the agent  receives the code and confirms it with the agent  no thats all thank you for your assistance
negative, hi i have an issue with the air cooler i received the package was open and tampered with when it was delivered to me im really disappointed with the quality of service  yes my order number is bb789012 and my registered email address is johnsmithemailcom  okay please do that quickly i need a new air cooler as soon as possible  no thankfully all the parts were there but the packaging was torn and it looked like someone had opened it  yes i can do that please give me your email address  no thats all i hope this issue gets resolved soon  thank you you too goodbye
neutral, hi sarah i need to change the email id linked to my account for my air cooler purchase but i am having trouble doing it can you help me with that  my name is jane and my email address is janedoeemailcom  yes my mobile number is 1234567890 and my email address is janedoeemailcom  i tried doing that but its not working it says my new email address is already in use  sure its janedoe1emailcom  is put on hold for a few minutes  oh i think you might be right i created that account a while ago but i dont remember the login details  sure its 1234567890  confirms the code  provides the required information  okay i will try that thank you for your help sarah  no thats all thank you again
neutral, hi sarah im planning to buy a water purifier from brownbox can you help me with the account requirement for shopping  okay that sounds easy enough how do i create an account  alright ill do that do i need to provide any other information to purchase a water purifier  okay got it how long will it take for the water purifier to be delivered  thats great one more thing do you have any ongoing discounts or promotions for water purifiers  okay thank you for your help sarah youve been very helpful  you too sarah goodbye
neutral, hi i was wondering if i could get expedited delivery for a headphone i want to purchase  yes my name is john and my email address is johnemailcom  sure the product name is bose quietcomfort 35 ii wireless headphones and the delivery address is 1234 main st anytown usa  sure please take your time  i think ill go with the 2day shipping option  yes my credit card number is 1234567890123456 and the expiration date is 1223  no thats all thank you for your help  you too bye
negative, hi sarah i placed an order for a food processor that i need to be shipped internationally but i am not sure about the availability and status of the product  sure its 123456  two weeks thats too long i need it urgently can you expedite the shipping process  okay please do that  no i only want that specific food processor can you cancel my order and refund my money  thats fine please go ahead and cancel the order  no thats all i am just disappointed that i couldnt get the product i wanted  okay thank you
negative, hi john i am calling because i am having issues with the delivery of my order i received a notification that the delivery was attempted but i was not at home however the delivery was not attempted again and i have not received my order yet  yes it is 123456  yes i understand that but i was expecting the delivery to be attempted again thats what usually happens when i miss a delivery  thats not acceptable i paid for the delivery and i expect to receive my order can you please do something about it  sure agent puts the  on hold and contacts the courier service provider  yes that works for me thank you for your help john  no thats all but i hope the delivery is attempted tomorrow as promised  thank you john
negative, hi rachel i have a complaint regarding a laptop i purchased from brownbox i received a faulty laptop and i want to return it  sure my order number is bb987654321  i purchased it two weeks ago  the laptop has some technical issues and its not functioning correctly  yes i contacted the manufacturer and they suggested some troubleshooting steps but it didnt help  i want a refund  yes thats fine but i had to pay a lot for the courier charges will i get the full amount reimbursed  okay ill do that but i hope youll reimburse me the full amount  no thats all for now thank you for your help rachel  thank you rachel goodbye
negative, hi sarah i recently ordered a backpack from brownbox but i need to change the address for item pickup can you help me with that  sure my order number is bb123456789  yes i need it to be picked up from my work address instead of my home address  okay ill wait agent puts the  on hold for 3 minutes while she checks the possibility of changing the pickup location  what thats ridiculous i cant go to the old address to pick it up and i cant wait for the backpack to be shipped to the wrong location  i dont want to cancel the order i need the backpack for my upcoming trip cant you transfer me to someone who can help me  sure please hurry agent puts the  on hold for 2 minutes while she consults with her supervisor  okay please try your best  yes my phone number is 1234567890 and my email address is johndoeexamplecom  no thats all for now  you too goodbye
negative, hi sarah i want to return an inverter i purchased from your website its not working correctly  yes its 789012  what is the return fee and why do i have to pay it i received a faulty product and its not my fault  this is ridiculous i dont want to pay anything you should take back the product and refund me the full amount  thats not enough i want a full refund  fine ill pay the return fee but im not happy about it  okay ill do that can you confirm that ill receive the refund within a week  no thats all for now thank you for your help  you too goodbye
neutral, hi alex i am having trouble logging into my account i keep getting an error message that says i have exceeded the number of attempts to enter the correct verification code  my name is john and my email address is johnsmithemailcom  i am using my laptop  okay let me try that  clears the cache and cookies and tries to log in again i am still getting the same error message  my date of birth is 01011980 and the last four digits of my social security number are 1234  thank you alex i am able to log in now i really appreciate your help  no thats all thank you
negative, hi i am calling regarding my recent order for a pendrive it has not been delivered yet and i am worried about it  sure my order number is bb123456789  i was supposed to receive it last week but it hasnt arrived yet  alright ill hold  thats not acceptable i need the pendrive urgently for my work what can you do to help me  yes please hurry  okay thats better but what about the inconvenience caused by the delay  yes that sounds fair thank you for your help  no thats all thank you for your help  thank you you too goodbye
neutral, hi sarah i received my order for shoes yesterday but they dont fit me well i want to return them  they are a bit tight for me i want to exchange them for a bigger size  but i only tried them on i havent worn them outside  okay i will do that can you please tell me what happens next  alright that sounds good can you please help me initiate the return process  okay i understand thank you for your help  no thats all thank you again  you too goodbye
negative, hi rachel my name is jane and im frustrated with my recent order  yes my order number is bb123456789  yes i received the jeans but they were the wrong size so i returned them i was told that i would receive a refund but i havent received it yet  i returned them two weeks ago  yes the tracking number is 987654321  thats frustrating how long does it take to process a refund for cash on delivery cod returns  okay i understand can you please check with your finance team to see whats going on  okay ill hold after a few minutes  finally thank you for your help rachel  no thats all for now thank you again rachel  you too rachel goodbye
neutral, hi john i received a printer that i ordered from your website but its not working correctly i would like to return it and get a refund  yes my order number is bb123456789  i received it 10 days ago  yes its still in the original packaging and in the same condition  yes i have tried a few things but nothing seems to work  i have checked the connections and i have also updated the drivers but the printer still doesnt work  no i havent tried that yet  okay ill try that after a few minutes  i replaced the ink cartridge but the printer still doesnt work  okay that sounds good  no thats all thank you for your help john  thank you you too bye
neutral, hi sarah i recently received a coffee maker that i ordered from your website but i need to return it i was wondering if there are any faster delivery options available for the return  sure my order number is bb123456789  oh i see thats a bit disappointing do you have any other options available for faster returns  alright thats understandable thank you for your help sarah  no thats all thank you again  you too bye
neutral, hi john i have a water geyser that i purchased from your website but i cant remember the warranty details can you help me with that  sure my order number is bb789012  is put on hold  okay thank you for the information can you tell me what the warranty covers  alright thats good to know what should i do if i need to make a warranty claim  okay i understand thank you for your help john  no thats all for now thank you  you too goodbye
neutral, hi i have a question about my loyalty points for a diaper purchase  my email address is johnsmithemailcom  my name is john smith and my phone number is 5551234567  yes i bought the pampers swaddlers diapers size 1 and i made the purchase on august 1st  yes can you explain how i can redeem these points  thats great thank you for explaining that to me alex  no thats all thank you for your help  you too goodbye
negative, hi i am trying to reactivate my account but its not working  my email is johndoeemailcom and the account was deactivated because i didnt use it for a few months  sure but i dont have much time  okay but i have already tried resetting the password and its not working  fine  my name is john doe my phone number is 1234567890 and my billing address is 123 main street  its johndoeemailcom  no thats all but i am not happy with the delay and the verification process  no thats all  you too goodbye
neutral, hi sarah im trying to buy an electric kettle but its asking me to create an account do i need an account to shop on brownbox  yes please  okay ill try that but what if i dont want to create an account  alright i guess ill create an account then  thank you sarah youve been very helpful  no thats all thank you again for your help
negative, hi sarah my name is lisa i recently purchased a computer monitor from your website and it stopped working after a week i reached out to the service center but they denied my request for repair i need your help with this  sure its bb123456  but i did not damage the monitor it just stopped working on its own  yes i have everything  how long will it take to process the refund  alright thank you for your help sarah i appreciate it  no thats all for now  you too goodbye
neutral, hi sarah i recently purchased a vacuum cleaner from your website and i received an email stating that i need to ship the item back to you can you tell me why i need to ship it back  sure my order number is 123456 and i purchased it last week  on hold for 1 minute  oh i see can you tell me how to proceed with the return process  my shipping address is 456 main street anytown usa  no thats all thank you for your help
negative, hi tom i am calling regarding my recent purchase of a food processor i have received an invoice that shows an overcharge  yes my order number is bb987654321  yes i was charged an extra 50 for the food processor which is not mentioned in the original price  sure ill hold agent puts the  on hold and checks the order details  okay thank you for your help i appreciate it can you also confirm when i will receive the refund  no thats all thank you for your help tom  thank you goodbye
negative, hi jane my name is sarah and i have an issue with the sandwich maker i received from your company  sure my order number is bb123456789  yes i received the sandwich maker a week ago but its not working correctly i want to return it and get a refund  its not heating up correctly and the bread is not getting toasted i tried to fix it by following the instructions but its still not working  i want to return it via pickup  i work from home so any time between 10 am to 4 pm would be fine  thank you jane i appreciate your assistance  no thats all thank you for your help  i appreciate your help jane have a good day
neutral, hi john i want to add a new delivery address to my account for a pair of jeans i just ordered  sure my account email is johndoegmailcom agent checks the account details  i want to add a new address for the jeans i just ordered  yes the new address is 1234 main street apt 5b new york ny 10001  yes thats correct  no thats all for now thank you for your help  you too goodbye
negative, hi sarah i am calling to inquire about my air conditioner that i purchased from your website it stopped working properly after the return period and i am very unhappy about it  sure my order number is bb123456 agent puts the  on hold briefly to check the issue  what thats ridiculous the air conditioner is not even a year old and its already broken  this is unacceptable i demand that you do something about it  okay lets try that  its not cooling properly and the fan is making a strange noise  no i havent checked that let me do that now  checks the air filter  yes the air filter was clogged i cleaned it but the air conditioner is still not cooling properly  yes i have checked that the thermostat is set to the recommended temperature  no i havent checked that let me do that now  checks the outdoor unit  yes the outdoor unit was obstructed by some debris i cleaned it and the air conditioner is working fine now  no thats all for now thank you for your help sarah  you too sarah goodbye
neutral, hi sarah i recently purchased a computer monitor from your website and i want to know about the pickup process  yes its bb12345  okay but i am not sure how to do that can you guide me through the process  okay i will do that can you tell me how long it will take for the pickup to be scheduled  alright i understand is there anything else i need to know about the pickup process  okay i will do that thank you for your help sarah  no thats all for now  you too goodbye
neutral, hi john i recently received a sweatshirt that i ordered from your website but it doesnt fit me well i want to return it and get a refund  sure my order number is bb123456 and i want to return it because its too small agent puts the  on hold and checks the order details  i wasnt aware of the return check fee can you explain it to me in detail  i see thank you for explaining it to me can you tell me how long it will take to process my refund  alright i understand can you please process the refund now  no thats all for now thank you for your help john  thank you you too john goodbye
neutral, hi i have a question regarding the loyalty program  hi sarah my name is emily  i have been purchasing from brownbox for a while now and i have accumulated some loyalty points i want to know how i can use them to buy an air cooler  sure its emilybrowngmailcom agent puts the  on hold for a few minutes  okay thank you how much discount can i get with these points  alright thats good can i use these points to buy an air cooler  oh i see so how can i get more points  okay got it thank you for your help sarah  no thats all thank you again  thanks you too goodbye
neutral, hi i received a wrong item in my recent order of a water geyser  sure its 123456  i received a toaster instead of the water geyser  sure ill hold  i would like to exchange it for a similar product  i would like to exchange it for a water heater  i would like to exchange it for the abc brand model number 123  sure ill hold  yes that sounds good how long will it take to receive the water heater  no thats all thank you for your help  thank you you too goodbye
neutral, hi sarah i am calling to check on the order confirmation and status of my sandwich maker i received an email saying that my order was confirmed but i have not received any updates since then  yes my order number is bb123456  sure agent puts the  on hold and checks the system  thats great news can you provide me with the tracking details please  okay thats fine thank you for your help sarah  no thats all for now  thank you sarah you too goodbye
neutral, hi sarah i recently received my order for a sweatshirt but im having trouble installing it can you help me with the installation process  its from your own brand brownbox  no i mean putting it on i cant seem to figure out which way the sleeves go  okay i found the tag it says that the sweatshirt is made from 100 cotton and to machine wash it in cold water  i see so its the s responsibility to install the sweatshirt correctly  no thats okay i think ive got it now thank you for your help sarah  thank you sarah goodbye
negative, hi i need to change the address for the pickup of my ceiling fan order  yes my order number is 123456  i need to change the address for this order its urgent and i cant wait for the next order  okay ill hold agent puts the  on hold for a few minutes  i cant believe this is happening i need the ceiling fan urgently and i cant wait for any delays or additional fees  okay but please hurry agent puts the  on hold for a few minutes  i dont care about the fees i just need the ceiling fan delivered to the new address  yes the new address is 123 main street and my phone number is 5551234  okay thank you i hope this works  no thats all for now
positive, hi sarah my name is john i placed an order for a wet grinder yesterday and i wanted to confirm the order status  yes my order number is bb456789123  sure go ahead agent puts the  on hold for 2 minutes while she checks the order status  thats great to hear sarah can you tell me when i can expect the delivery  yes please agent puts the  on hold for 2 minutes while she checks the estimated delivery date  thats fine sarah i just wanted to confirm that the order was processed and on its way thank you for your help  no thats all for now thank you for your help  you too sarah goodbye
neutral, hi alex i recently received an email requesting me to ship my baby food order im not sure why im being asked to do this can you help me understand  sure my order number is bb123456789  oh i see but why wasnt it shipped directly to me  alright i understand can you tell me when i will receive the order  okay thank you for your help alex  no thats all for now  you too alex goodbye
negative, hi sarah im calling to inquire about my order for a pair of shorts it was supposed to be delivered yesterday but i still havent received it  sure my order number is 456789  this is really frustrating i needed those shorts for an event thats happening tomorrow  is put on hold for a few minutes while the agent looks into the issue  i guess that would be better than nothing how much of a refund are we talking about  i suppose thats better than nothing how long will it take for the refund to reflect in my account  okay thank you for your help  no thats all thank you
neutral, hi sarah im having trouble signing up for an account on your website using my corporate email id  sure its johndoeabccorpcom  no i havent how do i do that  okay ill try that but can i ask you a question  i also have a personal email id can i use that to sign up for an account instead  got it thanks for your help sarah  no thats all thank you for your time
neutral, hi alex i recently changed my email address and im having trouble logging into my account to track my shorts order can you help me with that  yes my name is john and my previous email address was johnexamplecom my new email address is johnsmithexamplecom  i tried that but its not working it says my email address or password is incorrect  sure no problem agent puts the  on hold for a minute and checks the system  okay ill do that once i reset my password can i log in with my new email address  thats great thank you for your help alex  no thats all for now thanks again
negative, hi sarah i recently received a faulty electric kettle that i ordered from your website i want to return it and request a replacement can you help me with that  sure my order number is bb123456 and the kettle doesnt heat up properly  okay but im really frustrated with this whole situation agent puts the  on hold for a minute while checking the policy  57 days thats too long i need the kettle for my daily use  okay please do that i really appreciate your help  no thats all for now thank you for your help sarah  you too bye
negative, hi im trying to purchase a hand blender from your website but im having issues with receiving the otp or verification code  sure my mobile number is 1234567890 and my email address is johndoeemailcom  yes they are correct  im checking now no i still havent received it  yes my alternate email address is johndoeemailcom  yes i see it now thank you  yes actually i have a question about the warranty for the hand blender  how long is the warranty period and what does it cover  okay thank you for the information  no thats all thank you for your help
neutral, hi sarah i was browsing your website and i found a washing machine that i want to purchase but it says its out of stock can you tell me when it will be available again  yes its the xyz model  no im interested in the xyz model and i want to wait until its back in stock can i place an order for it now and you can ship it to me when its available  okay ill sign up for email notifications can you tell me if the price of the washing machine will change when its back in stock  okay i understand thank you for your help sarah  no thats all for now thank you again  you too goodbye
neutral, hi sarah i was browsing through your website and noticed that theres an instant cashback offer on pendrives im interested in buying one but im not sure how to avail of the discount  im looking at the 32 gb sandisk ultra dual drive  that sounds good how can i avail of the discount  okay i added the pendrive to my cart but i dont see the cashback being applied  no i havent applied any coupon code or gift card  sure agent checks the system and finds that the cashback offer is not being applied due to a technical glitch  that would be great thank you  sure its 1234567890  thank you so much for your help sarah i really appreciate it  no thats all thank you again
negative, hi tom im trying to order a television airconditioner refrigerator washing machine furniture microwave treadmill and a wristwatch but im unable to order the wristwatch at my location can you help me with that  im looking for a seiko wristwatch and my location is 1234 main street anytown usa  what do you mean its not available i can see it on your website  this is ridiculous why do you even have it on your website if its not available  so what can you do about it  okay that sounds good can you check if theres any other location that has the seiko wristwatch in stock  this is ridiculous i need that watch urgently cant you do anything  fine go ahead  okay go ahead and check  this is unacceptable i need that watch urgently cant you do anything else  this is terrible  service i demand to speak to your supervisor supervisor hi this is alex the supervisor i understand that youre having trouble finding the seiko wristwatch at your location how can i assist you  your agent was unable to help me i demand that you find a way to get me that watch urgently supervisor im sorry to hear that sir let me check if theres anything we can do to get you the watch urgently puts the  on hold for a few minutes im sorry sir but we dont have any other option at the moment however we can offer you a discount on any other product that you purchase from us  fine ill take the discount but this is terrible  service supervisor i understand your frustration sir and i apologize for any inconvenience this has caused you we value your business and hope to serve you better in the future
negative, hi sarah i need to change the address for the pickup of my pendrive  yes its bb123456  i have to leave town for a few days and i wont be available at the current address  yes its 1234 main street apartment 567 anytown usa  no thats all but im not happy with your service i had to wait for more than 10 minutes on hold to speak to you  no thats all  goodbye
neutral, hi rachel im trying to log in to the mobile app to purchase a pair of jeans but im not sure how to log in with my mobile number  yes my name is john doe and my mobile number is 5551234 step 1 open the brownbox mobile app and click on the login button step 2 select the mobile number option step 3 enter your mobile number and click on the send otp button step 4 youll receive a onetime password otp on your mobile number enter the otp on the app and click on the verify button step 5 youll be logged in to your account and you can proceed with your purchase  okay ill try that thank you rachel  no thats all thank you for your help  you too goodbye
neutral, hi i recently purchased an air cooler from your website and i have some questions about the warranty terms  my order number is 7891011 i just wanted to know if there have been any changes to the warranty terms for this product  sure  yes please  thats disappointing can you explain how this change will impact my product  okay i understand is there anything else i should know about the warranty terms  alright thanks for explaining that to me i appreciate your help  no thats all thank you
neutral, hello i would like to check the status of my refund for a wristwatch that i returned last week  hi my name is samantha and my order number is 123456  no thats all thank you for checking jane  you too jane goodbye
neutral, hello i have a question about the free delivery qualification for a refrigerator  i recently ordered a refrigerator but i noticed that i didnt qualify for free delivery can you tell me why  yes its bb123456  oh i see is there anything i can do to get free delivery  okay i understand can you tell me more about the white glove delivery option  that sounds great how do i add white glove delivery to my order  is put on hold for a few minutes  no thats all thank you for your help
negative, hi mark im really frustrated with the delivery of my water purifier its been a week and i still havent received it  sure my order number is 987654321 and my email address is xyzgmailcom  but i paid extra for the delivery charges to get it delivered earlier why is it taking so long  okay thank you  thank you for your help i appreciate it  no thats all thank you again
neutral, hi i recently purchased a headphone from your website and unfortunately its not working anymore i want to claim the warranty for it can you please guide me through the process  yes the order number is 123456 and the product name is xyz headphone  sure ill hold step 1 go to our website and click on the warranty claim option step 2 fill out the warranty claim form with your personal information order number and product details step 3 provide a brief description of the issue youre facing with your product step 4 submit the form and our team will get back to you within 2448 hours with further instructions  okay that sounds easy is there anything else i need to know before submitting the warranty claim form  alright ill make sure to attach the purchase invoice thank you for your help  no thats all thank you for your help  thank you you too goodbye
negative, hi john i am looking to buy an external hard disk from your website but i cannot find any faster delivery options at my location this is very frustrating  i am located in a remote area in the outskirts of the city  57 business days is too long i need the external hard disk urgently  that sounds like a good idea how can i check for the nearby stores  alright i will try that thank you for your help  no thats all for now  you too goodbye
neutral, hi i recently purchased a food processor from brownbox and im having trouble installing it can you help me with that  yes my name is john and my order number is bb1234  im not sure if im installing it correctly and im worried about voiding the warranty if i do it wrong  yes i have its just that im not very handy with these things and im worried about damaging the product  yes please id rather have it installed correctly even if it means voiding the warranty  is put on hold for a minute  yes please that would be great  okay ill try that thank you for your help jane  no thats all thank you again
neutral, hi alex im trying to log in to my account but its asking me to verify my mobile number and email address why is that necessary  okay i understand can you guide me through the verification process  okay ive clicked on the link now what  i havent received any sms yet  yes its correct  yes i have received the code now what do i do with it  okay i have done that thank you for your assistance  no thats all for now  thank you goodbye
negative, hi john i have returned a speaker through cash on delivery cod mode and i am yet to receive my refund can you please tell me the timeline for cod refunds  yes my order number is 456789123 and my return id is 987654  14 business days thats too long i was not informed about this at the time of the return  okay but can you do something to expedite the process i need the refund urgently  okay i understand can you please confirm that the refund has been initiated from your end  no thats all thank you for your help
negative, hi sarah im calling about my order for a juicermixergrinder it was supposed to be delivered yesterday but it hasnt arrived yet  yes its bb789012 agent puts the  on hold to check the order status  this is ridiculous i needed it for a party last night and now its already ruined agent puts the  on hold to check the delivery status  this is unacceptable i paid for the delivery and its not my problem if theres traffic  what do you mean by as soon as possible i need it today agent puts the  on hold to check the delivery options  yes i need the juicermixergrinder urgently please expedite the delivery  finally some good news thank you for your help sarah  no thats all for now  thanks you too goodbye
neutral, hello i am trying to log in to my account but it is asking me to verify my mobile number and email address why is that  yes my name is john smith and my email address is johnsmithemailcom  okay i understand that how can i verify my mobile number and email address  alright let me check i received the otp and i have entered it and i have clicked on the verification link sent to my email address  thank you for your help i was able to log in to my account successfully  no thats all thank you for your assistance
negative, hi sarah i am trying to order a shirt but i cant seem to get it shipped to my location also i need faster delivery options  my name is jane smith and my email address is janesmithgmailcom  im trying to order a shirt and my location is in new york  no i dont want a similar product i want that specific shirt also i need faster delivery options i need it urgently  no i dont want a similar product this is unacceptable i need that shirt and i need it urgently im very disappointed with your service  okay ill do that but im still not happy about this  no thats all
neutral, hi john i recently purchased a headphone from your website and i noticed that the price for the same headphone has now reduced can you explain why this happened  sure my order number is 456789 and i purchased it on the 15th of last month  is put on hold for a minute  but i purchased the headphone during the promotional sale and it was not mentioned anywhere that the price would increase after the sale  thats not fair i feel cheated  can you provide me with any discounts or offers to compensate for the price difference  okay please do that  okay that sounds reasonable thank you  no thats all thank you for your help  okay ill keep an eye out for the email thank you
neutral, hi jake i was browsing your website and noticed that the price for the inverter i want to buy is different from what my friend paid for the same product can you please explain why  the product is the solaredge se10000hus inverter and my friends order number is 12345  i see is there any way i can still get the product at the discounted price  okay i understand can you tell me if there are any ongoing promotions currently  alright thanks for checking i guess ill have to buy it at the regular price then  no thats all thank you for your assistance  you too goodbye
neutral, hi amy i recently purchased an oven toaster grills otg from your website and im interested in signing up for an extended warranty can you guide me through the process  yes its 123456  im not sure can you explain the options  i think ill go with the standard warranty for one year  sure my name is jane smith my email address is janesmithemailcom and my phone number is 1234567890  no thats all thank you for your help amy  thank you amy goodbye
neutral, hi i need help with returning a toy i purchased from brownbox  sure my name is sarah and my order number is 987654321  is put on hold for a minute  the toy arrived damaged and i want to return it for a refund  i received it three days ago  is put on hold for a minute  thats great how do i initiate the return process  okay ill initiate the return process online when can i expect the refund  okay thank you for your help  no thats all for now  goodbye
negative, hi i need help reactivating my account i tried logging in but it says my account has been deactivated  sure my email address is janedoeemailcom  okay ill wait agent puts the  on hold for two minutes  my name is jane doe and my date of birth is january 1st 1990  yes my new password is 12345 agent reactivates the s account  okay let me try  tries logging in and confirms that its working  yes its working now thank you for your help alex  no thats all thank you again  thank you you too goodbye
neutral, hi sarah i have a question about the warranty for a headphone that i purchased from your website how do i determine the start date of the warranty  sure the order number is 123456 agent puts the  on hold to check the order details  okay thank you for letting me know i have another question what does the warranty cover  thats good to know thank you for your help sarah  no thats all for now thank you again  thank you you too goodbye
neutral, hi im trying to buy a food processor but its asking me to create an account do i need an account to make a purchase  okay ill create an account can you please guide me through the process  okay i see it  done  okay i have created an account can i now make a purchase  thank you for your help  no thats all have a good day
negative, hi i am trying to order a refrigerator but it says its unavailable for shipping to my location whats going on  my name is john smith and my email address is johnsmithemailcom  its the lg french door refrigerator model number lfxs26596s  no i specifically want the lg french door refrigerator cant you make an exception and ship it to my location  yes please do that but how long will it take for the refrigerator to become available for shipping to my location  no thats all thank you for your help  you too goodbye
neutral, hi tom i recently received a pair of shorts that i want to return however i am unable to click the cancel button on the return page  sure my order number is 12345 and my email address is janedoeemailcom  whenever i try to click the cancel button it does not respond i have tried on different devices and browsers but the issue persists  is put on hold for a few minutes  okay let me try that  clears the cache and cookies  i have cleared the cache and cookies but the issue still persists  yes please  no thats all thank you for your help  you too goodbye
negative, hi i recently purchased a refrigerator from your website and its not working correctly i want to return it  sure my order number is 12345 and the refrigerator is not cooling enough i want to return it and get a refund  what thats ridiculous how can you expect me to keep a defective product that i paid for  fine go ahead  i dont want a repair or replacement i want a refund  i guess thats the only option i have go ahead  okay i understand is there anything else i need to do  no thats all this is just frustrating i hope you can understand  yeah bye
neutral, hi sarah i recently placed an order for diapers and i noticed that i didnt qualify for free delivery can you help me understand why  yes its bb12345  oh i see can i add more items to my order to qualify for free delivery  thats a good idea can you tell me more about the subscription service  that sounds great how do i sign up for the subscription service  thank you for explaining that i think ill sign up for the subscription service  no thats all thank you for your help  you too goodbye
positive, hi sarah i recently purchased a kitchen chimney from your website and wanted to confirm the order status  yes my order number is bb123456 agent puts the  on hold briefly to check the issue  thats great to hear can you please confirm the courier details and the expected delivery date agent puts the  on hold briefly to check the issue  okay thank you for the information  no thats all for now thank you for your help sarah  you too sarah goodbye
negative, hi i have an issue with my order  its bb123456789  my order was approved but its been a week and it hasnt shipped yet  okay ill hold  okay please do that  thats ridiculous i need that pendrive urgently what can you do to help me  okay ill hold  okay thats better than nothing but what about the delay in the first place im not happy with that  okay thats better thank you for your help  no thats all thank you again  you too goodbye
negative, hi alex my name is sarah i am calling to inquire about my order for baby food  sure my order number is bb789012 after a brief hold  what does that mean why didnt they attempt the delivery again  this is unacceptable i need the baby food as soon as possible can you please do something about this  okay but when will i receive my order  alright i guess ill have to wait can you please make sure that this issue doesnt happen again  thank you alex i appreciate your help  no thats all for now thank you for your assistance  thank you alex you too goodbye
negative, hi rachel i recently purchased an electric kettle from your website i noticed that the warranty terms mentioned on your website are different from the ones mentioned on the brands website can you please help me with this  yes my order number is bb789012 and the brands name is abc  on your website it mentions that the warranty period is for 2 years whereas on the brands website it mentions that the warranty period is for 1 year only  sure go ahead agent puts the  on hold and checks with the team  thats disappointing i specifically chose your website because of the 2year warranty mentioned on your website can you please help me with this  okay that would be helpful agent checks with the team  alright i guess thats the best you can do can you please confirm the warranty period for my electric kettle  okay thank you for your help  no thats all thank you
neutral, hi rachel i am trying to log in to my account to buy a toy for my daughter but its asking me to verify my mobile number or email address i dont understand why its necessary  okay but i have already verified my email address when i created the account why do i need to verify it again  i see but i dont have access to the mobile number that i used to create the account and i cant verify it what should i do  okay that sounds good how do i update my mobile number  alright i will try that thank you for your help rachel  no thats all thank you again  you too goodbye
